Month,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,358,369,389,383,337,359,332,316,327,336,335,337,368,355,409,371,443,435,419,503
February,395,361,402,377,341,370,350,318,331,368,347,334,361,335,381,410,427,406,426,472
March,345,345,378,341,336,335,326,302,318,327,322,339,347,338,339,360,389,397,399,462
April,303,301,316,281,307,316,283,274,279,288,288,290,302,299,307,331,357,346,335,374
May,282,286,311,332,320,317,321,282,287,286,286,291,295,295,312,344,334,321,319,415
June,379,356,378,395,418,386,347,339,349,375,349,340,318,344,441,378,449,389,541,544
July,395,387,403,404,434,412,389,400,414,427,408,359,397,380,456,452,504,456,529,581
August,397,386,411,400,426,411,403,399,388,429,403,374,426,371,488,465,485,482,565,575
September,390,366,377,365,376,424,390,361,395,354,375,383,384,372,415,460,432,448,476,531
October,338,326,324,349,345,327,332,326,312,359,349,353,354,359,344,366,390,437,420,411
November,304,319,313,314,345,323,298,297,308,314,325,313,317,326,341,348,370,346,399,411
December,362,357,354,321,366,314,315,323,333,334,329,350,338,345,395,366,392,376,433,404